farm_id,region,season,irrigation,soil_quality,rice_variety,rainfall_mm,temperature_c,humidity_pct,fertilizer_kg_ha,pesticide_l_ha,land_area_ha,planting_density,yield_ton_ha,risk_category
FARM_355,Dataran Rendah,Musim Hujan,Tadah Hujan,Rendah,Varietas A,220.93,26.79,79.29,113.95,2.03,2.65,28.23,6.99,Risiko Rendah
FARM_211,Dataran Menengah,Musim Hujan,Teknis,Sedang,Varietas A,210.33,25.38,79.42,117.61,3.47,1.1,24.13,8.15,Risiko Rendah
FARM_340,Dataran Rendah,Musim Hujan,Semi Teknis,Tinggi,Varietas C,243.36,28.12,90.59,109.56,2.98,0.95,20.78,8.55,Risiko Rendah
FARM_120,Dataran Menengah,Musim Hujan,Semi Teknis,Rendah,Varietas C,168.48,24.49,89.59,56.64,1.5,1.02,21.61,5.42,Risiko Sedang
FARM_127,Tadah Hujan,Musim Hujan,Teknis,Sedang,Varietas B,153.54,26.04,80.71,124.23,3.14,0.54,27.89,8.77,Risiko Rendah
FARM_204,Tadah Hujan,Musim Hujan,Tadah Hujan,Rendah,Varietas B,237.52,28.21,84.99,122.39,2.76,1.09,25.23,6.95,Risiko Rendah
FARM_301,Dataran Rendah,Musim Hujan,Semi Teknis,Rendah,Varietas C,213.06,30.14,80.15,130.49,1.18,0.71,18.67,6.34,Risiko Rendah
FARM_140,Tadah Hujan,Musim Kemarau,Teknis,Sedang,Varietas B,103.09,25.14,64.7,110.08,3.14,0.89,19.78,6.81,Risiko Rendah
FARM_357,Dataran Rendah,Musim Kemarau,Teknis,Sedang,Varietas B,151.34,28.93,63.58,156.86,1.77,0.94,20.26,8.61,Risiko Rendah
FARM_141,Tadah Hujan,Musim Kemarau,Tadah Hujan,Tinggi,Varietas A,51.42,32.03,69.67,133.72,2.31,1.13,24.51,1.2,Risiko Tinggi
FARM_223,Dataran Rendah,Musim Hujan,Semi Teknis,Rendah,Varietas C,202.61,26.66,86.12,110.65,1.42,1.12,20.89,7.45,Risiko Rendah
FARM_325,Tadah Hujan,Musim Kemarau,Tadah Hujan,Sedang,Varietas A,125.11,30.1,69.33,138.96,3.72,1.03,25.14,7.07,Risiko Rendah
FARM_034,Tadah Hujan,Musim Kemarau,Teknis,Sedang,Varietas A,162.18,29.49,76.55,111.73,1.44,1.23,25.58,8.35,Risiko Rendah
FARM_298,Dataran Rendah,Musim Hujan,Semi Teknis,Sedang,Varietas A,174.05,25.12,85.33,94.48,4.02,2.25,29.07,7.15,Risiko Rendah
FARM_221,Dekat Sungai,Musim Hujan,Teknis,Rendah,Varietas B,279.65,27.69,83.68,80.23,0.5,1.61,32.17,4.93,Risiko Sedang
FARM_148,Dataran Menengah,Musim Kemarau,Teknis,Sedang,Varietas A,118.98,26.33,75.88,117.57,0.95,0.94,18.77,7.75,Risiko Rendah
FARM_326,Dekat Sungai,Musim Kemarau,Semi Teknis,Sedang,Varietas A,142.15,28.13,83.36,161.19,2.33,1.31,20.62,8.79,Risiko Rendah
FARM_026,Dekat Sungai,Musim Kemarau,Tadah Hujan,Rendah,Varietas A,,32.85,68.51,124.79,1.83,4.0,20.61,3.61,Risiko Tinggi
FARM_074,Tadah Hujan,Musim Hujan,Semi Teknis,Sedang,Varietas A,156.6,27.76,78.97,99.65,3.15,0.87,17.72,6.86,Risiko Rendah
FARM_268,Dekat Sungai,Musim Kemarau,Semi Teknis,Sedang,Varietas A,107.3,28.96,79.8,135.01,2.55,0.38,20.4,8.55,Risiko Rendah
FARM_010,Dekat Sungai,Musim Hujan,Teknis,Rendah,Varietas B,283.53,25.63,91.73,93.44,1.63,1.4,22.81,5.33,Risiko Sedang
FARM_348,Dataran Rendah,Musim Kemarau,Teknis,Tinggi,Varietas B,155.4,,77.39,111.1,1.39,0.46,23.14,8.49,Risiko Rendah
FARM_149,Dataran Rendah,Musim Kemarau,Tadah Hujan,Tinggi,Varietas A,164.17,27.39,61.66,122.06,3.4,0.67,17.61,7.6,Risiko Rendah
FARM_114,Tadah Hujan,Musim Kemarau,Teknis,Sedang,Varietas C,104.71,27.39,66.43,118.96,2.68,0.59,23.47,7.36,Risiko Rendah
FARM_040,Dataran Menengah,Musim Kemarau,Tadah Hujan,Rendah,Varietas A,178.14,26.51,64.8,128.5,1.03,0.98,28.39,6.19,Risiko Rendah
FARM_023,Dataran Rendah,Musim Kemarau,Semi Teknis,Tinggi,Varietas A,88.94,29.73,64.94,123.43,2.45,1.81,22.63,7.51,Risiko Rendah
FARM_352,Tadah Hujan,Musim Kemarau,Teknis,Sedang,Varietas B,97.96,24.2,71.91,117.04,1.46,1.08,26.63,6.68,Risiko Rendah
FARM_095,Dekat Sungai,Musim Hujan,Tadah Hujan,Sedang,Varietas A,281.37,23.75,84.82,127.83,0.58,1.13,24.84,4.92,Risiko Sedang
FARM_091,Dataran Rendah,Musim Kemarau,Tadah Hujan,Sedang,Varietas A,148.0,26.71,56.69,90.17,3.2,2.02,32.78,5.95,Risiko Rendah
FARM_181,Dataran Rendah,Musim Kemarau,Teknis,Sedang,Varietas B,126.91,27.96,63.68,108.38,1.41,2.62,26.01,8.03,Risiko Rendah
FARM_031,Dekat Sungai,Musim Kemarau,Teknis,Tinggi,Varietas B,136.54,26.56,80.91,91.67,2.33,1.33,21.14,7.83,Risiko Rendah
FARM_306,Tadah Hujan,Musim Hujan,Semi Teknis,Sedang,Varietas B,207.1,25.89,76.63,59.92,2.31,0.6,27.37,5.76,Risiko Sedang
FARM_109,Dataran Rendah,Musim Hujan,Semi Teknis,Sedang,Varietas A,137.87,27.26,83.6,101.01,2.82,2.22,25.97,7.92,Risiko Rendah
FARM_158,Dekat Sungai,Musim Kemarau,Semi Teknis,Sedang,Varietas A,170.98,29.37,79.7,139.53,1.23,0.67,22.36,8.32,Risiko Rendah
FARM_233,Dataran Menengah,Musim Hujan,Teknis,Sedang,Varietas C,161.82,25.13,86.0,101.81,2.3,0.72,26.34,7.88,Risiko Rendah
FARM_056,Tadah Hujan,Musim Hujan,Teknis,Rendah,Varietas B,162.52,25.07,79.1,158.76,4.03,1.03,27.19,8.56,Risiko Rendah
FARM_006,Dataran Rendah,Musim Hujan,Tadah Hujan,Sedang,Varietas A,228.14,28.79,83.61,81.31,2.12,0.89,22.93,6.42,Risiko Rendah
FARM_046,Dekat Sungai,Musim Kemarau,Semi Teknis,Sedang,Varietas A,166.48,28.02,78.19,113.63,1.32,1.43,20.06,7.18,Risiko Rendah
FARM_343,Dataran Rendah,Musim Hujan,Tadah Hujan,Rendah,Varietas B,282.48,26.54,82.87,161.35,3.31,0.66,19.22,6.48,Risiko Rendah
FARM_287,Dataran Menengah,Musim Kemarau,Semi Teknis,Sedang,Varietas B,119.52,27.18,63.17,100.18,2.53,1.37,26.72,6.58,Risiko Rendah
FARM_238,Dataran Rendah,Musim Hujan,Teknis,Sedang,Varietas A,248.01,27.48,90.41,,0.85,1.95,27.36,7.13,Risiko Rendah
FARM_210,Dataran Rendah,Musim Hujan,Teknis,Rendah,Varietas B,103.35,24.36,91.2,111.56,1.97,4.0,21.9,6.16,Risiko Rendah
FARM_079,Dataran Menengah,Musim Kemarau,Semi Teknis,Tinggi,Varietas A,129.92,28.06,66.19,100.63,3.63,1.07,19.28,7.7,Risiko Rendah
FARM_334,Dataran Rendah,Musim Hujan,Tadah Hujan,Rendah,Varietas C,239.32,24.99,78.77,82.47,2.13,0.61,25.58,4.42,Risiko Sedang
FARM_284,Dataran Rendah,Musim Hujan,Semi Teknis,Sedang,Varietas A,191.68,29.49,92.32,123.89,1.71,1.18,18.57,7.54,Risiko Rendah
FARM_004,Dataran Menengah,Musim Hujan,Semi Teknis,Tinggi,Varietas A,211.2,26.36,89.97,139.49,2.88,1.04,24.05,8.8,Risiko Rendah
FARM_117,Tadah Hujan,Musim Hujan,Tadah Hujan,Tinggi,Varietas B,172.62,24.78,84.17,121.03,3.05,1.45,19.68,7.71,Risiko Rendah
FARM_077,Dekat Sungai,Musim Hujan,Tadah Hujan,Rendah,Varietas B,264.8,25.14,83.5,121.18,3.42,0.51,26.02,5.07,Risiko Sedang
FARM_285,Dataran Menengah,Musim Hujan,Tadah Hujan,Sedang,Varietas B,182.83,26.4,78.7,105.68,2.14,0.83,24.89,6.97,Risiko Rendah
FARM_064,Dataran Menengah,Musim Hujan,Teknis,Sedang,Varietas A,251.66,24.85,76.92,,2.35,1.42,14.43,6.83,Risiko Rendah
FARM_047,Dataran Rendah,Musim Hujan,Tadah Hujan,Rendah,Varietas A,139.06,27.69,78.83,75.65,1.94,0.51,20.12,5.39,Risiko Sedang
FARM_212,Dekat Sungai,Musim Kemarau,Tadah Hujan,Rendah,Varietas A,152.69,26.18,84.85,83.35,2.74,1.79,21.31,6.41,Risiko Rendah
FARM_078,Dataran Rendah,Musim Kemarau,Semi Teknis,Tinggi,Varietas C,161.57,28.84,64.75,149.1,2.79,0.63,17.75,8.72,Risiko Rendah
FARM_073,Dataran Rendah,Musim Kemarau,Semi Teknis,Sedang,Varietas C,98.73,28.46,77.08,99.9,2.56,0.77,24.03,6.46,Risiko Rendah
FARM_085,Dataran Rendah,Musim Kemarau,Semi Teknis,Rendah,Varietas B,158.75,24.81,67.16,128.55,2.81,0.64,27.57,7.23,Risiko Rendah
FARM_359,Tadah Hujan,Musim Hujan,Teknis,Rendah,Varietas A,,25.38,80.76,127.4,3.75,1.25,20.35,7.41,Risiko Rendah
FARM_200,Dekat Sungai,Musim Kemarau,Teknis,Sedang,Varietas C,186.32,27.09,57.51,150.38,1.11,2.4,24.91,9.5,Risiko Rendah
FARM_335,Dataran Rendah,Musim Hujan,Tadah Hujan,Sedang,Varietas B,117.06,24.15,84.1,107.07,2.14,1.85,20.17,6.74,Risiko Rendah
FARM_094,Dataran Menengah,Musim Kemarau,Tadah Hujan,Sedang,Varietas A,137.54,27.65,69.33,97.16,1.87,2.41,28.3,6.45,Risiko Rendah
FARM_199,Tadah Hujan,Musim Kemarau,Tadah Hujan,Rendah,Varietas C,99.1,28.91,69.21,117.96,1.13,0.65,26.86,5.73,Risiko Sedang
FARM_198,Tadah Hujan,Musim Hujan,Tadah Hujan,Tinggi,Varietas A,292.17,24.3,74.57,140.52,3.32,2.0,25.62,6.99,Risiko Rendah
FARM_290,Dataran Menengah,Musim Hujan,Semi Teknis,Rendah,Varietas B,278.25,23.84,80.01,164.14,2.4,1.13,20.49,6.12,Risiko Rendah
FARM_337,Tadah Hujan,Musim Hujan,Tadah Hujan,Rendah,Varietas B,192.41,27.6,80.02,81.13,1.35,0.7,22.17,5.69,Risiko Sedang
FARM_232,Dataran Menengah,Musim Kemarau,Semi Teknis,Tinggi,Varietas C,121.2,25.79,60.39,145.32,2.52,0.86,24.58,8.37,Risiko Rendah
FARM_076,Dekat Sungai,Musim Kemarau,Tadah Hujan,Tinggi,Varietas A,131.71,31.09,79.66,84.06,3.53,0.84,21.56,6.06,Risiko Rendah
FARM_195,Dataran Rendah,Musim Kemarau,Semi Teknis,Sedang,Varietas C,78.67,29.72,75.8,113.08,0.96,0.95,24.19,6.52,Risiko Rendah
FARM_319,Dataran Rendah,Musim Kemarau,Teknis,Sedang,Varietas A,112.95,29.52,67.95,150.83,3.84,1.16,26.06,8.34,Risiko Rendah
FARM_017,Dataran Rendah,Musim Kemarau,Teknis,Rendah,Varietas B,146.37,30.69,70.67,89.05,1.9,2.4,20.14,5.28,Risiko Sedang
FARM_067,Dataran Rendah,Musim Hujan,Semi Teknis,Tinggi,Varietas B,302.67,27.18,81.52,82.3,3.22,1.59,28.71,3.46,Risiko Tinggi
FARM_133,Dataran Rendah,Musim Hujan,Teknis,Rendah,Varietas B,201.0,26.37,81.34,150.2,2.72,1.3,26.42,8.2,Risiko Rendah
FARM_008,Tadah Hujan,Musim Kemarau,Tadah Hujan,Rendah,Varietas C,63.63,26.72,62.13,101.36,2.55,2.47,22.27,1.77,Risiko Tinggi
FARM_193,Tadah Hujan,Musim Kemarau,Semi Teknis,Tinggi,Varietas B,94.15,28.18,50.06,122.56,2.87,2.45,21.76,7.46,Risiko Rendah
FARM_153,Dataran Rendah,Musim Kemarau,Semi Teknis,Rendah,Varietas A,139.45,28.16,68.63,142.59,1.97,2.13,22.14,7.52,Risiko Rendah
FARM_324,Dataran Rendah,Musim Kemarau,Semi Teknis,Sedang,Varietas B,126.91,31.39,70.18,95.21,3.56,1.03,19.22,5.16,Risiko Sedang
FARM_315,Tadah Hujan,Musim Hujan,Teknis,Sedang,Varietas C,165.73,28.3,83.27,136.27,1.2,1.48,29.14,8.0,Risiko Rendah
FARM_174,Dataran Rendah,Musim Kemarau,Teknis,Rendah,Varietas A,120.01,27.94,67.93,148.77,1.25,2.6,26.73,7.7,Risiko Rendah
FARM_159,Dataran Rendah,Musim Kemarau,Teknis,Tinggi,Varietas A,97.55,29.86,71.02,156.23,1.34,1.01,28.02,7.73,Risiko Rendah
FARM_110,Dataran Rendah,Musim Kemarau,Semi Teknis,Sedang,Varietas B,64.66,27.68,74.27,100.27,2.55,0.82,25.16,5.63,Risiko Sedang
FARM_296,Dataran Menengah,Musim Hujan,Tadah Hujan,Tinggi,Varietas C,245.21,26.92,80.12,120.67,2.62,1.05,28.6,8.07,Risiko Rendah
FARM_061,Dataran Menengah,Musim Kemarau,Semi Teknis,Tinggi,Varietas B,160.2,25.31,68.79,160.53,0.69,1.99,22.07,9.47,Risiko Rendah
FARM_115,Dekat Sungai,Musim Hujan,Semi Teknis,,Varietas A,263.52,28.62,79.5,55.34,2.44,1.29,21.91,1.79,Risiko Tinggi
FARM_259,Dataran Menengah,Musim Kemarau,Semi Teknis,Rendah,Varietas C,107.41,26.73,58.72,127.51,1.09,1.43,26.44,7.17,Risiko Rendah
FARM_111,Dataran Rendah,Musim Hujan,Teknis,Rendah,Varietas C,233.07,27.85,91.67,153.87,1.61,1.29,16.02,7.39,Risiko Rendah
FARM_219,Dekat Sungai,Musim Hujan,Teknis,Sedang,Varietas A,218.84,27.62,80.82,117.17,2.07,0.9,26.58,8.69,Risiko Rendah
FARM_230,Dekat Sungai,Musim Hujan,Semi Teknis,Tinggi,Varietas C,166.86,28.29,90.72,128.61,1.78,0.64,21.25,8.77,Risiko Rendah
FARM_018,Dataran Menengah,Musim Hujan,Tadah Hujan,Rendah,Varietas B,262.02,23.36,81.17,114.12,1.37,0.45,23.3,5.19,Risiko Sedang
FARM_146,Dataran Rendah,Musim Hujan,Semi Teknis,Sedang,Varietas A,230.39,25.91,83.85,109.55,0.48,0.91,20.1,6.92,Risiko Rendah
FARM_025,Dataran Menengah,Musim Kemarau,Teknis,Tinggi,Varietas C,152.64,23.54,58.07,190.4,2.56,1.09,21.96,9.5,Risiko Rendah
FARM_102,Dekat Sungai,Musim Kemarau,Teknis,,Varietas A,122.45,27.32,68.83,123.18,2.35,1.59,23.63,8.14,Risiko Rendah
FARM_317,Dataran Menengah,Musim Hujan,Teknis,Sedang,Varietas C,214.85,22.44,78.37,126.75,1.75,1.96,26.18,7.29,Risiko Rendah
FARM_186,Dekat Sungai,Musim Hujan,Tadah Hujan,Rendah,Varietas B,248.86,27.43,89.88,100.19,0.96,2.07,31.79,5.29,Risiko Sedang
FARM_209,Dataran Rendah,Musim Kemarau,Semi Teknis,Rendah,Varietas B,107.49,30.83,66.74,88.12,3.5,2.93,32.39,2.79,Risiko Tinggi
FARM_138,Dekat Sungai,Musim Hujan,Semi Teknis,Sedang,Varietas B,252.97,29.85,97.4,134.19,1.47,0.97,28.83,7.19,Risiko Rendah
FARM_156,Dataran Rendah,Musim Hujan,Teknis,Sedang,Varietas B,203.63,27.92,88.74,90.1,3.22,1.06,25.98,7.86,Risiko Rendah
FARM_226,Dataran Rendah,Musim Hujan,Teknis,Tinggi,Varietas C,214.6,26.31,87.53,103.42,0.76,1.05,21.33,8.5,Risiko Rendah
FARM_356,Dekat Sungai,Musim Kemarau,Semi Teknis,Rendah,Varietas A,113.5,29.56,62.48,66.53,2.6,1.58,21.64,4.48,Risiko Sedang
FARM_255,Dataran Rendah,Musim Kemarau,Teknis,Tinggi,Varietas A,83.97,25.91,58.53,96.57,1.56,0.41,23.76,6.73,Risiko Rendah
FARM_176,Dataran Rendah,Musim Kemarau,Teknis,Sedang,Varietas B,72.89,27.69,62.27,128.07,3.87,0.81,27.02,7.62,Risiko Rendah
FARM_266,Dekat Sungai,Musim Hujan,Semi Teknis,Sedang,Varietas A,214.66,28.51,97.7,98.58,2.36,2.36,29.02,6.33,Risiko Rendah
FARM_168,Dataran Rendah,Musim Hujan,Teknis,Rendah,Varietas C,58.93,29.2,83.1,124.07,3.08,0.74,20.95,5.71,Risiko Sedang
FARM_194,Dekat Sungai,Musim Kemarau,Semi Teknis,Rendah,Varietas B,162.64,28.05,72.96,61.46,2.93,3.12,15.86,2.16,Risiko Tinggi
FARM_020,Dataran Rendah,Musim Hujan,Teknis,Sedang,Varietas B,246.71,27.17,74.82,131.05,1.21,0.56,23.96,8.28,Risiko Rendah
FARM_282,Dataran Rendah,Musim Hujan,Semi Teknis,Rendah,Varietas A,149.04,27.58,83.82,81.34,1.17,1.59,22.64,5.29,Risiko Sedang
FARM_080,Dataran Rendah,Musim Hujan,Tadah Hujan,Rendah,Varietas C,272.92,26.69,73.92,94.9,0.87,0.97,29.74,5.11,Risiko Sedang
FARM_164,Dataran Menengah,Musim Kemarau,Teknis,Tinggi,Varietas A,63.74,25.52,62.66,142.9,2.47,1.45,23.92,7.66,Risiko Rendah
FARM_019,Dataran Menengah,Musim Kemarau,Semi Teknis,Tinggi,Varietas A,90.23,29.14,63.94,91.24,0.89,4.0,25.97,6.16,Risiko Rendah
FARM_302,Dataran Menengah,Musim Kemarau,Teknis,Sedang,Varietas B,135.15,26.85,58.36,121.55,1.17,0.63,17.79,7.73,Risiko Rendah
FARM_105,Tadah Hujan,Musim Kemarau,Semi Teknis,Rendah,Varietas C,144.99,28.7,54.87,55.62,4.49,1.57,22.85,2.89,Risiko Tinggi
FARM_279,Dekat Sungai,Musim Hujan,Tadah Hujan,Sedang,Varietas C,269.82,27.61,83.98,91.01,2.08,1.11,26.78,5.74,Risiko Sedang
FARM_119,Tadah Hujan,Musim Kemarau,Semi Teknis,Sedang,Varietas C,36.05,28.66,64.16,210.0,2.32,2.73,23.59,6.09,Risiko Rendah
FARM_032,Dataran Rendah,Musim Hujan,Tadah Hujan,Rendah,Varietas B,122.34,26.32,81.5,140.63,2.12,1.03,22.33,6.79,Risiko Rendah
FARM_037,Dataran Rendah,Musim Kemarau,Semi Teknis,Rendah,Varietas C,58.1,28.25,70.26,106.01,2.82,2.15,14.29,4.01,Risiko Sedang
FARM_154,Dataran Menengah,Musim Kemarau,Semi Teknis,Rendah,Varietas A,114.71,29.52,66.64,139.34,3.33,1.07,24.18,7.26,Risiko Rendah
FARM_239,Dekat Sungai,Musim Hujan,Teknis,Rendah,Varietas A,154.26,25.0,92.81,144.07,1.38,0.62,18.57,7.54,Risiko Rendah
FARM_313,Dataran Rendah,Musim Hujan,Teknis,Rendah,Varietas A,221.51,25.81,89.42,119.02,1.87,0.94,25.55,7.08,Risiko Rendah
FARM_336,Dataran Rendah,Musim Kemarau,Teknis,Tinggi,Varietas A,123.34,29.65,66.16,106.58,2.24,2.01,21.64,8.01,Risiko Rendah
FARM_251,Dataran Rendah,Musim Hujan,Semi Teknis,Sedang,Varietas A,198.66,27.54,76.82,127.58,2.26,1.1,22.46,8.12,Risiko Rendah
FARM_228,Dataran Menengah,Musim Hujan,Tadah Hujan,Tinggi,Varietas C,245.0,23.37,87.32,130.58,1.63,0.91,21.57,7.63,Risiko Rendah
FARM_060,Dataran Rendah,Musim Kemarau,Semi Teknis,Sedang,Varietas C,130.46,27.78,62.74,168.32,2.77,2.41,31.43,7.74,Risiko Rendah
FARM_112,Dataran Rendah,Musim Kemarau,Semi Teknis,Sedang,Varietas B,110.6,24.84,61.76,104.22,2.38,1.09,19.52,6.71,Risiko Rendah
FARM_345,Dataran Menengah,Musim Hujan,Semi Teknis,Tinggi,Varietas B,252.49,24.8,73.6,97.86,0.2,1.17,18.59,6.2,Risiko Rendah
FARM_007,Dataran Rendah,Musim Kemarau,Teknis,Sedang,Varietas B,137.77,30.32,71.77,85.82,1.72,2.32,16.65,6.7,Risiko Rendah
FARM_262,Tadah Hujan,Musim Hujan,Tadah Hujan,Sedang,Varietas A,242.81,23.73,88.21,88.04,4.02,0.63,22.6,5.29,Risiko Sedang
FARM_338,Dekat Sungai,Musim Kemarau,Semi Teknis,Rendah,Varietas A,152.12,25.89,76.51,125.89,1.63,0.66,27.43,7.59,Risiko Rendah
FARM_011,Dataran Rendah,Musim Hujan,Teknis,Tinggi,Varietas B,211.32,27.24,91.64,78.71,1.63,1.03,23.01,8.07,Risiko Rendah
FARM_166,Tadah Hujan,Musim Hujan,Teknis,,Varietas B,95.51,24.64,85.81,132.93,2.37,1.33,28.88,7.62,Risiko Rendah
FARM_104,Dataran Menengah,Musim Kemarau,Teknis,Tinggi,Varietas A,68.99,26.18,65.84,52.33,2.21,2.15,27.99,5.35,Risiko Sedang
FARM_082,Dekat Sungai,Musim Kemarau,Teknis,Rendah,Varietas C,146.36,29.33,76.67,148.03,1.61,1.92,29.81,7.86,Risiko Rendah
FARM_178,Dataran Menengah,Musim Hujan,Tadah Hujan,Sedang,Varietas B,246.48,25.41,81.38,88.43,1.91,1.62,25.89,5.9,Risiko Rendah
FARM_240,Dataran Rendah,Musim Hujan,Semi Teknis,Rendah,Varietas B,334.76,27.41,98.0,72.46,1.98,1.68,20.4,3.12,Risiko Tinggi
FARM_183,Tadah Hujan,Musim Hujan,Teknis,Sedang,Varietas B,162.91,27.4,82.0,84.02,4.06,1.02,22.73,7.43,Risiko Rendah
FARM_184,Tadah Hujan,Musim Kemarau,Semi Teknis,Sedang,Varietas C,30.0,26.42,64.15,91.91,2.36,1.05,27.76,4.4,Risiko Sedang
FARM_243,Tadah Hujan,Musim Hujan,Teknis,Tinggi,Varietas B,221.49,25.57,87.03,130.45,1.62,2.07,27.77,8.91,Risiko Rendah
FARM_196,Dataran Rendah,Musim Hujan,Semi Teknis,Rendah,Varietas A,264.5,26.53,84.63,76.69,3.47,1.73,23.0,6.07,Risiko Rendah
FARM_093,Dekat Sungai,Musim Hujan,Teknis,Sedang,Varietas B,245.76,25.11,94.92,149.41,2.17,2.05,23.77,7.96,Risiko Rendah
FARM_070,Tadah Hujan,Musim Hujan,Tadah Hujan,Tinggi,Varietas B,226.98,,83.17,98.51,1.58,0.52,31.48,6.86,Risiko Rendah
FARM_241,Tadah Hujan,Musim Hujan,Teknis,Rendah,Varietas A,191.08,27.83,85.21,35.7,1.43,0.82,20.14,3.06,Risiko Tinggi
FARM_097,Dataran Menengah,Musim Hujan,Semi Teknis,Tinggi,Varietas A,315.2,24.61,86.45,98.63,3.73,1.55,19.63,2.31,Risiko Tinggi
FARM_144,Dataran Rendah,Musim Kemarau,Semi Teknis,Tinggi,Varietas B,,25.94,86.51,94.87,1.51,0.48,22.31,7.71,Risiko Rendah
FARM_275,Dataran Menengah,Musim Hujan,Teknis,Sedang,Varietas A,300.98,26.08,74.25,95.14,1.88,1.14,15.08,5.46,Risiko Sedang
FARM_098,Dataran Menengah,Musim Hujan,Teknis,Rendah,Varietas B,211.47,28.47,76.94,114.13,1.18,1.05,24.94,7.34,Risiko Rendah
FARM_197,Dekat Sungai,Musim Hujan,Teknis,Rendah,Varietas A,272.42,25.97,89.75,170.64,2.66,1.05,17.31,7.73,Risiko Rendah
FARM_069,Dataran Rendah,Musim Hujan,Semi Teknis,Tinggi,Varietas B,290.31,27.37,97.54,84.28,1.66,1.29,26.08,6.92,Risiko Rendah
FARM_024,Dataran Menengah,Musim Kemarau,Semi Teknis,Tinggi,Varietas B,,26.73,80.09,120.15,1.71,3.28,25.11,7.28,Risiko Rendah
FARM_038,Dataran Rendah,Musim Hujan,Semi Teknis,Tinggi,Varietas B,199.37,27.27,72.43,166.31,1.4,1.42,14.45,8.17,Risiko Rendah
FARM_145,Dataran Rendah,Musim Kemarau,Semi Teknis,Sedang,Varietas C,128.88,30.35,71.27,135.86,2.22,1.51,18.54,7.03,Risiko Rendah
FARM_123,Dataran Rendah,Musim Hujan,Teknis,Rendah,Varietas B,211.25,26.89,83.73,123.05,3.35,1.34,25.46,6.67,Risiko Rendah
FARM_068,Tadah Hujan,Musim Kemarau,Semi Teknis,Sedang,Varietas B,74.64,28.18,71.0,121.07,1.44,0.77,18.51,6.01,Risiko Rendah
FARM_339,Dataran Menengah,Musim Hujan,Semi Teknis,Sedang,Varietas A,169.08,25.17,80.54,122.04,1.17,2.48,30.71,8.11,Risiko Rendah
FARM_342,Dataran Menengah,Musim Hujan,Tadah Hujan,Sedang,Varietas C,285.0,26.96,94.07,144.36,3.12,0.65,15.32,6.56,Risiko Rendah
FARM_288,Dataran Menengah,Musim Kemarau,Tadah Hujan,Tinggi,Varietas C,76.02,26.69,73.69,72.59,0.78,0.85,16.25,4.77,Risiko Sedang
FARM_169,Dataran Rendah,Musim Hujan,Teknis,Tinggi,Varietas A,,25.76,83.26,82.86,3.05,2.15,28.15,7.12,Risiko Rendah
FARM_126,Dataran Menengah,Musim Kemarau,Semi Teknis,Tinggi,Varietas A,156.14,25.24,75.89,99.04,1.48,1.29,28.64,7.3,Risiko Rendah
FARM_147,Dekat Sungai,Musim Kemarau,Teknis,Sedang,Varietas B,141.46,29.56,70.35,113.2,2.9,0.54,26.81,7.36,Risiko Rendah
FARM_297,Dekat Sungai,Musim Hujan,Teknis,Sedang,Varietas A,254.06,29.58,90.59,160.69,2.12,1.5,25.19,8.13,Risiko Rendah
FARM_087,Dekat Sungai,Musim Kemarau,Tadah Hujan,Tinggi,Varietas A,143.14,29.71,74.36,134.08,2.76,0.67,26.79,8.23,Risiko Rendah
